date,pageviews,country,iso_code,region,device,session_duration,bounce_rate
2016-05-09,134,France,FRA,Europe,Desktop,91.67,0.4606
2016-05-09,189,United States,USA,North America,Mobile,126.68,0.3737
2016-05-09,45,Japan,JPN,Asia,Tablet,30.39,0.4972
2016-05-09,83,Canada,CAN,North America,Mobile,109.88,0.24
2016-05-09,82,Germany,DEU,Europe,Mobile,127.25,0.4921
2016-05-09,32,Canada,CAN,North America,Desktop,145.89,0.2417
2016-05-09,54,Canada,CAN,North America,Desktop,123.22,0.2029
2016-05-09,21,Japan,JPN,Asia,Mobile,63.39,0.3228
2016-05-09,26,France,FRA,Europe,Tablet,109.57,0.3054
2016-05-10,25,India,IND,Asia,Mobile,96.54,0.2336
2016-05-10,743,France,FRA,Europe,Tablet,35.88,0.2394
2016-05-10,102,Australia,AUS,Oceania,Desktop,91.95,0.3453
2016-05-10,188,Nigeria,NGA,Africa,Mobile,160.17,0.2786
2016-05-10,178,Germany,DEU,Europe,Mobile,49.12,0.2399
2016-05-10,93,United States,USA,North America,Desktop,99.27,0.3159
2016-05-10,57,Canada,CAN,North America,Desktop,128.63,0.4828
2016-05-11,44,Australia,AUS,Oceania,Desktop,155.31,0.436
2016-05-11,24,Germany,DEU,Europe,Mobile,6.42,0.3894
2016-05-11,187,Nigeria,NGA,Africa,Desktop,106.54,0.2398
2016-05-11,327,Mexico,MEX,North America,Mobile,113.69,0.2146
2016-05-11,76,Japan,JPN,Asia,Mobile,113.44,0.3217
2016-05-11,11,Australia,AUS,Oceania,Desktop,129.63,0.2318
2016-05-11,294,Australia,AUS,Oceania,Mobile,48.65,0.4937
2016-05-11,186,United Kingdom,GBR,Europe,Mobile,93.38,0.3486
2016-05-11,66,Japan,JPN,Asia,Desktop,139.6,0.2229
2016-05-12,5,Canada,CAN,North America,Mobile,71.66,0.2222
2016-05-12,35,Canada,CAN,North America,Mobile,88.89,0.3797
2016-05-12,78,United Kingdom,GBR,Europe,Desktop,85.54,0.2328
2016-05-12,103,Germany,DEU,Europe,Mobile,63.45,0.3169
2016-05-12,237,South Africa,ZAF,Africa,Mobile,42.52,0.3214
2016-05-12,184,South Africa,ZAF,Africa,Desktop,93.41,0.2958
2016-05-12,190,Australia,AUS,Oceania,Desktop,64.39,0.4496
2016-05-13,67,South Africa,ZAF,Africa,Mobile,103.75,0.3212
2016-05-13,5,Brazil,BRA,South America,Desktop,112.48,0.3669
2016-05-13,344,Germany,DEU,Europe,Mobile,52.48,0.2585
2016-05-13,27,Japan,JPN,Asia,Mobile,100.48,0.2232
2016-05-13,86,United States,USA,North America,Desktop,80.25,0.3125
2016-05-13,21,United States,USA,North America,Mobile,30.53,0.4149
2016-05-13,20,Japan,JPN,Asia,Mobile,104.57,0.4332
2016-05-13,63,Canada,CAN,North America,Mobile,76.63,0.4988
2016-05-13,16,Nigeria,NGA,Africa,Mobile,25.4,0.4871
2016-05-13,18,Australia,AUS,Oceania,Desktop,153.66,0.2301
2016-05-14,7,Australia,AUS,Oceania,Desktop,139.32,0.3399
2016-05-14,719,Japan,JPN,Asia,Tablet,107.31,0.2509
2016-05-14,109,Australia,AUS,Oceania,Desktop,95.06,0.329
2016-05-14,43,France,FRA,Europe,Mobile,11.53,0.3969
2016-05-14,204,China,CHN,Asia,Mobile,69.51,0.4171
2016-05-14,236,Australia,AUS,Oceania,Mobile,73.65,0.3647
2016-05-15,28,Brazil,BRA,South America,Mobile,125.25,0.2822
2016-05-15,71,China,CHN,Asia,Mobile,72.29,0.3607
2016-05-15,59,China,CHN,Asia,Tablet,66.75,0.2099
2016-05-15,65,Australia,AUS,Oceania,Mobile,72.35,0.3139
